,popt,perr,areas
-1.713,"[  1.3668027   40.55992105 782.           5.54857657 197.50554677
 800.31917663   7.74810772  29.64652819 817.           8.77248379]","[ 3.89651403 11.16039087  2.03729169  1.63931711 32.58590086  1.56049738
  1.4027473  30.69296929 14.88075976  7.43689359]","[564.1162607346599, 3835.8788393335367, 651.9080599603648]"
-1.763,"[  1.9934193   40.83402005 782.           5.50545739 201.59194594
 800.33770918   7.71494018  30.74335852 817.           8.56239171]","[ 3.82300064 10.8923703   1.97726224  1.60021593 29.66980191  1.50177894
  1.36364534 29.8631677  13.52611374  6.80281962]","[563.5149956765165, 3898.4832652918362, 659.8365000162872]"
-1.813,"[6.86077730e-01 3.85268063e+01 7.82000000e+02 5.47381567e+00
 1.89476782e+02 8.00283284e+02 7.72816954e+00 2.88786928e+01
 8.17000000e+02 8.53879604e+00]","[ 3.79993783 11.02205355  2.0837472   1.68333382 28.87478616  1.58625321
  1.45496816 29.56095621 14.20460444  7.15727249]","[528.6194181636963, 3670.4775792122127, 618.107630390021]"
-1.862,"[2.60311959e-01 3.89132836e+01 7.82000000e+02 5.51473086e+00
 1.93250238e+02 8.00282695e+02 7.74285758e+00 2.80545694e+01
 8.17000000e+02 9.04577384e+00]","[ 3.91976407 10.8485176   2.05397156  1.6740689  34.77101259  1.54738682
  1.36814952 29.75005834 16.18716877  8.14775021]","[537.9131172559253, 3750.6906238242013, 636.1203165063278]"
-1.912,"[4.82045959e-01 3.88065163e+01 7.82000000e+02 5.38654978e+00
 1.87663618e+02 8.00337902e+02 7.78434888e+00 2.64092886e+01
 8.17000000e+02 8.68320423e+00]","[ 3.77547651 10.83201173  1.96108483  1.60952414 31.64683875  1.69236059
  1.46783831 31.04127855 16.48369999  8.16077761]","[523.9686092816765, 3661.780525830089, 574.8130926724363]"
-1.961,"[  0.97867676  39.13194555 782.           5.44663314 193.90234779
 800.30785261   7.81251658  27.98486459 817.           8.90618324]","[ 3.85290491 11.13723954  2.00936517  1.63414078 34.59914672  1.6515071
  1.42984526 31.68641854 16.46407823  8.11926207]","[534.2561116217486, 3797.2042112394192, 624.7478503207648]"
-2.011,"[8.11639524e-01 4.17378558e+01 7.82000000e+02 5.49973107e+00
 2.03739889e+02 8.00373734e+02 7.73077119e+00 2.91654230e+01
 8.17000000e+02 9.06764326e+00]","[ 3.91106471 10.47495726  1.86543402  1.53866787 35.75669689  1.48576648
  1.27876849 30.10706709 15.78664614  7.91338993]","[575.3889560392312, 3948.106145025629, 662.9070512808022]"
-2.061,"[  1.76883814  42.08637084 782.           5.42976074 204.11440896
 800.29944632   7.7145506   30.55402341 817.           8.77449452]","[ 3.81334686 10.54112917  1.82195442  1.4992701  31.2581464   1.45967342
  1.28883653 29.04715488 13.90799166  7.02670236]","[572.8119961316792, 3947.0645581583785, 672.0172923540256]"
-2.11,"[  1.05175312  38.56476454 782.           5.53820207 191.18847697
 800.35847232   7.64209564  28.61284232 817.           8.72012722]","[ 3.87370553 10.31462729  2.05817246  1.69197225 30.55141955  1.50216588
  1.35218181 28.20945694 14.47340968  7.40735373]","[535.3643099866181, 3662.386010554824, 625.4228677325681]"
-2.16,"[  1.17710711  38.95158631 782.           5.35517556 191.67974448
 800.42875263   7.75305813  27.02109809 817.           9.01162767]","[ 3.8051552  10.03110557  1.83981215  1.55164399 35.54315192  1.62768847
  1.33848912 30.49130924 16.98382935  8.43602257]","[522.8640667157795, 3725.110809052665, 610.3741999035004]"
-2.209,"[  1.41362797  39.91947087 782.           5.47185851 202.34980489
 800.37471842   7.77581701  29.70079497 817.           8.68775236]","[ 3.83096202 11.00796882  1.99075532  1.61641057 32.40545266  1.58161597
  1.38425284 31.63973417 14.89679632  7.35885098]","[547.5320794887623, 3944.0167954123954, 646.793193421963]"
-2.259,"[5.37731709e-01 4.09364025e+01 7.82000000e+02 5.63556654e+00
 1.93939386e+02 8.00290865e+02 7.66288593e+00 3.09980479e+01
 8.17000000e+02 8.84206317e+00]","[ 3.96647995 10.88116003  2.0705771   1.66855346 31.90481569  1.47279295
  1.36519284 28.5589685  13.77688364  7.05303087]","[578.2786926608508, 3725.1890017805995, 687.0334668478293]"
-2.309,"[  1.34401195  36.33716685 782.           5.53521468 188.53032137
 800.35678562   7.78226147  28.16476965 817.           8.53580905]","[ 3.84150365 11.47116908  2.29981055  1.83360352 30.76264879  1.69824423
  1.54120612 32.01092272 15.34938464  7.57595143]","[504.1682196603436, 3677.705591280165, 602.6162363375473]"
-2.358,"[  1.75499027  37.52335325 782.           5.45956678 185.0547193
 800.34692342   7.77874758  26.58454935 817.           8.75351109]","[ 3.83355417 10.97039983  2.09890706  1.70874843 32.7719385   1.713134
  1.49603179 31.2860498  16.713066    8.27712911]","[513.5110084251735, 3608.2762339514115, 583.3128226428868]"
-2.408,"[  1.08265492  38.67419857 782.           5.67257338 194.96969713
 800.3611084    7.74626576  28.50650087 817.           8.52830412]","[ 3.9353727  11.75725814  2.32131863  1.82069356 30.81216613  1.60588924
  1.50753001 31.81682917 15.1376942   7.52843514]","[549.9096985002633, 3785.728321717189, 609.3916860685343]"
